ID,Gender,Race,Age_at_Release,Residence_PUMA,Gang_Affiliated,Supervision_Risk_Score_First,Supervision_Level_First,Education_Level,Dependents,Prison_Offense,Prison_Years,Prior_Arrest_Episodes_Felony,Prior_Arrest_Episodes_Misd,Prior_Arrest_Episodes_Violent,Prior_Arrest_Episodes_Property,Prior_Arrest_Episodes_Drug,_v1,Prior_Arrest_Episodes_DVCharges,Prior_Arrest_Episodes_GunCharges,Prior_Conviction_Episodes_Felony,Prior_Conviction_Episodes_Misd,Prior_Conviction_Episodes_Viol,Prior_Conviction_Episodes_Prop,Prior_Conviction_Episodes_Drug,_v2,_v3,_v4,Prior_Revocations_Parole,Prior_Revocations_Probation,Condition_MH_SA,Condition_Cog_Ed,Condition_Other,Violations_ElectronicMonitoring,Violations_Instruction,Violations_FailToReport,Violations_MoveWithoutPermission,Delinquency_Reports,Program_Attendances,Program_UnexcusedAbsences,Residence_Changes,Avg_Days_per_DrugTest,DrugTests_THC_Positive,DrugTests_Cocaine_Positive,DrugTests_Meth_Positive,DrugTests_Other_Positive,Percent_Days_Employed,Jobs_Per_Year,Employment_Exempt,Recidivism_Within_3years,Recidivism_Arrest_Year1,Recidivism_Arrest_Year2,Recidivism_Arrest_Year3,Training_Sample
25,M,BLACK,38-42,18,No,5,Standard,Less than HS diploma,3 or more,Drug,Less than 1 year,10 or more,6 or more,3 or more,1,5 or more,5 or more,Yes,No,3 or more,4 or more,Yes,1,2 or more,Yes,No,No,No,Yes,No,No,No,No,No,No,No,0,0,0,1,196,0,0,0,0,.1964285714285714,.9317602040816326,No,Yes,Yes,No,No,1
26,M,WHITE,48 or older,17,No,2,,Less than HS diploma,1,Property,1-2 years,9,5,0,5 or more,0,5 or more,No,No,3 or more,4 or more,No,3 or more,0,Yes,No,No,No,No,Yes,No,No,No,No,No,No,0,0,0,1,,,,,,1,2,No,Yes,Yes,No,No,1
27,M,WHITE,48 or older,14,No,2,Specialized,Less than HS diploma,0,Drug,1-2 years,9,6 or more,0,0,2,5 or more,No,No,3 or more,4 or more,No,0,2 or more,Yes,No,No,No,No,Yes,No,Yes,No,No,No,No,4 or more,6,0,0,31,0,0,0,0,.8064516129032258,1,No,No,No,No,No,0
28,M,WHITE,48 or older,23,No,3,Standard,Less than HS diploma,0,Other,1-2 years,10 or more,6 or more,3 or more,5 or more,1,5 or more,No,No,3 or more,4 or more,Yes,3 or more,1,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,0,5,3 or more,1,43.14285714285715,0,0,0,0,0,0,No,Yes,No,Yes,No,0
29,M,BLACK,43-47,6,No,6,High,High School Diploma,0,Property,Greater than 2 to 3 years,7,6 or more,0,5 or more,0,2,No,Yes,2,3,No,3 or more,0,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,0,0,0,3 or more,357.4,0,0,0,0,.8953553441522104,.2043928371572468,Yes,No,No,No,No,1
30,M,BLACK,18-22,2,No,10,Specialized,Less than HS diploma,0,Property,1-2 years,5,2,0,2,4,1,No,No,0,0,No,0,0,No,No,No,No,No,Yes,No,Yes,No,No,No,No,0,0,0,3 or more,1087,1,0,0,0,0,0,No,Yes,Yes,No,No,1
31,M,WHITE,43-47,14,No,10,Specialized,At least some college,0,Property,1-2 years,10 or more,6 or more,3 or more,5 or more,0,5 or more,Yes,Yes,3 or more,4 or more,No,3 or more,0,Yes,No,No,No,Yes,Yes,No,Yes,No,Yes,No,No,4 or more,2,0,0,23.8,0,0,.2000000029802322,.2000000029802322,.7142857142857143,1,No,Yes,Yes,No,No,0
32,F,WHITE,43-47,16,,9,Specialized,Less than HS diploma,0,Property,1-2 years,10 or more,6 or more,2,5 or more,0,4,No,No,3 or more,4 or more,Yes,3 or more,0,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,0,10 or more,0,1,,,,,,1,.7064796905222437,Yes,No,No,No,No,1
33,M,WHITE,43-47,25,Yes,8,Standard,High School Diploma,1,Drug,1-2 years,10 or more,2,3 or more,4,2,5 or more,No,Yes,3 or more,3,Yes,1,2 or more,Yes,No,Yes,No,No,Yes,Yes,No,No,No,No,No,0,6,2,0,101,0,0,0,0,0,0,No,Yes,No,Yes,No,1
34,F,WHITE,38-42,12,,10,Specialized,At least some college,3 or more,Property,1-2 years,10 or more,6 or more,0,5 or more,5 or more,5 or more,No,No,1,4 or more,No,3 or more,2 or more,Yes,No,No,No,Yes,Yes,No,No,No,No,No,No,0,6,0,0,44.625,0,0,0,0,0,0,Yes,Yes,Yes,No,No,1
35,M,WHITE,33-37,14,No,4,Standard,Less than HS diploma,0,Drug,Less than 1 year,5,6 or more,1,0,4,5 or more,No,Yes,3 or more,4 or more,No,0,2 or more,Yes,No,No,No,No,No,No,No,No,No,No,No,2,3,2,0,12.71428571428571,.2857142984867096,0,.2857142984867096,.1428571492433548,0,0,No,Yes,Yes,No,No,0
36,M,BLACK,48 or older,10,No,2,Standard,Less than HS diploma,0,Drug,Less than 1 year,10 or more,6 or more,1,5 or more,4,4,No,No,3 or more,4 or more,No,3 or more,1,Yes,No,No,No,No,Yes,No,No,No,Yes,No,Yes,4 or more,1,1,2,27.72727272727273,0,.2272727340459824,0,0,.6540983606557377,.5987704918032787,Yes,No,No,No,No,1
37,M,WHITE,43-47,14,No,3,,High School Diploma,2,Drug,Less than 1 year,10 or more,6 or more,3 or more,1,5 or more,5 or more,No,No,3 or more,4 or more,Yes,0,2 or more,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,0,0,0,0,,,,,,0,0,No,No,No,No,No,1
38,M,BLACK,33-37,3,Yes,6,High,Less than HS diploma,0,Property,Greater than 2 to 3 years,10 or more,6 or more,0,5 or more,0,5 or more,No,No,2,4 or more,No,3 or more,0,Yes,No,No,No,No,Yes,Yes,No,No,Yes,No,Yes,3,0,0,1,71.06666666666666,.0666666701436043,0,0,0,0,0,No,Yes,No,No,Yes,1
39,M,BLACK,33-37,12,No,3,Standard,High School Diploma,3 or more,Violent/Non-Sex,Less than 1 year,8,6 or more,2,2,1,5 or more,No,No,3 or more,4 or more,Yes,2,1,Yes,No,No,No,No,Yes,No,Yes,No,No,No,No,0,4,1,0,13.16666666666667,0,0,0,0,1,1,No,Yes,No,No,Yes,1
40,F,BLACK,38-42,2,,2,Standard,At least some college,1,Property,1-2 years,2,0,0,1,0,0,No,No,0,0,No,0,0,No,No,No,No,No,No,No,Yes,No,No,No,No,0,0,0,0,,,,,,.9814126394052045,1,No,No,No,No,No,1
41,M,WHITE,33-37,14,No,10,Specialized,High School Diploma,1,Property,More than 3 years,10 or more,6 or more,1,5 or more,1,5 or more,No,No,3 or more,4 or more,Yes,3 or more,0,Yes,No,No,Yes,No,Yes,Yes,Yes,No,No,No,No,2,4,3 or more,1,16.28571428571428,.1428571492433548,0,.2857142984867096,0,1,1,No,Yes,Yes,No,No,1
42,M,BLACK,48 or older,3,No,3,Specialized,High School Diploma,3 or more,Violent/Non-Sex,1-2 years,9,4,3 or more,0,0,4,No,Yes,2,1,Yes,0,0,Yes,Yes,No,No,Yes,No,Yes,Yes,No,No,No,No,0,0,0,0,136.5,0,0,0,0,.8864468864468864,2,No,No,No,No,No,1
43,F,WHITE,43-47,16,,2,Standard,At least some college,0,Property,Less than 1 year,10 or more,6 or more,3 or more,5 or more,1,5 or more,No,No,3 or more,2,No,3 or more,0,Yes,No,No,No,No,Yes,No,No,No,No,No,No,0,5,2,2,,,,,,0,0,No,Yes,Yes,No,No,0
44,M,WHITE,33-37,16,No,9,Specialized,High School Diploma,3 or more,Violent/Non-Sex,Less than 1 year,10 or more,6 or more,2,4,4,5 or more,No,Yes,3 or more,4 or more,Yes,1,2 or more,Yes,No,Yes,No,No,Yes,Yes,Yes,No,No,Yes,No,4 or more,10 or more,3 or more,0,145.5,0,0,0,0,0,0,No,Yes,Yes,No,No,0
45,M,BLACK,43-47,21,Yes,5,,High School Diploma,0,Drug,1-2 years,8,6 or more,3 or more,2,2,5 or more,No,Yes,3 or more,2,Yes,1,2 or more,Yes,No,Yes,No,No,Yes,Yes,Yes,No,No,No,No,4 or more,0,0,2,56.33333333333334,0,0,0,0,1,2,No,Yes,No,Yes,No,0
46,M,BLACK,38-42,24,No,4,Specialized,Less than HS diploma,3 or more,Violent/Non-Sex,Greater than 2 to 3 years,5,4,1,1,0,3,No,No,2,2,Yes,0,0,Yes,No,No,No,No,No,No,Yes,Yes,No,No,No,0,4,0,0,25.77272727272727,0,0,0,0,.5061728395061729,1.288359788359788,No,Yes,No,No,Yes,0
47,M,WHITE,38-42,12,No,4,Standard,High School Diploma,2,Drug,Less than 1 year,4,6 or more,0,2,3,4,No,No,2,4 or more,No,1,2 or more,Yes,No,No,No,No,Yes,No,No,No,No,No,No,4 or more,6,0,0,16.86,.0599999986588955,0,.0399999991059303,.0399999991059303,.9857651245551602,.4332740213523132,No,No,No,No,No,1
48,M,WHITE,38-42,4,No,3,Specialized,High School Diploma,1,Violent/Sex,1-2 years,3,0,0,1,0,0,No,No,0,0,No,0,0,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,0,10 or more,0,0,97.8,0,0,0,0,1,1.493865030674846,No,No,No,No,No,1
49,M,WHITE,33-37,16,No,4,Standard,High School Diploma,3 or more,Other,Less than 1 year,6,2,0,2,2,1,No,Yes,3 or more,1,No,2,1,Yes,No,Yes,No,No,Yes,No,No,No,No,No,No,0,6,0,3 or more,109.3333333333333,0,0,0,0,.7347560975609756,2,No,Yes,Yes,No,No,0
50,M,BLACK,38-42,17,No,9,Specialized,Less than HS diploma,0,Drug,Greater than 2 to 3 years,7,6 or more,1,3,3,0,No,No,3 or more,1,No,0,2 or more,No,No,No,Yes,No,No,No,No,No,No,No,No,0,3,0,3 or more,50.31578947368421,0,0,0,0,1,2.292364016736402,No,No,No,No,No,1
51,F,WHITE,43-47,9,,7,High,At least some college,0,Property,1-2 years,10 or more,6 or more,0,5 or more,5 or more,5 or more,No,Yes,3 or more,4 or more,No,3 or more,2 or more,Yes,No,No,No,No,Yes,Yes,No,No,Yes,No,No,4 or more,10 or more,0,3 or more,33.84848484848485,0,0,.030303031206131,0,.0644583706356312,.3269919427036705,No,No,No,No,No,1
52,M,WHITE,33-37,14,No,9,Specialized,At least some college,0,Drug,Less than 1 year,10 or more,6 or more,1,5 or more,4,5 or more,No,No,3 or more,4 or more,No,3 or more,2 or more,Yes,No,No,No,No,Yes,Yes,Yes,No,No,Yes,Yes,2,0,0,1,,,,,,0,0,No,Yes,Yes,No,No,1
53,M,WHITE,18-22,21,No,8,Specialized,At least some college,3 or more,Other,1-2 years,6,3,1,1,1,4,Yes,No,3 or more,2,Yes,1,1,Yes,Yes,No,No,No,Yes,Yes,No,No,Yes,Yes,Yes,4 or more,10 or more,2,3 or more,15.87878787878788,.060606062412262,0,.030303031206131,.030303031206131,.2862595419847328,2.091125954198473,Yes,Yes,No,Yes,No,1
54,M,BLACK,48 or older,3,No,5,Standard,Less than HS diploma,3 or more,Drug,Less than 1 year,10 or more,6 or more,2,5 or more,5 or more,5 or more,No,No,3 or more,4 or more,No,3 or more,2 or more,Yes,No,No,No,No,Yes,No,No,No,No,No,No,0,0,0,0,,,,,,0,0,No,No,No,No,No,1
55,M,BLACK,38-42,3,No,5,Specialized,High School Diploma,3 or more,Property,1-2 years,8,6 or more,0,5 or more,1,5 or more,No,No,3 or more,4 or more,No,3 or more,1,Yes,No,No,No,No,No,No,Yes,No,No,No,No,0,10 or more,1,0,36.89655172413793,0,0,0,0,.9457943925233645,.3413551401869159,No,No,No,No,No,1
56,M,BLACK,23-27,4,No,8,High,Less than HS diploma,3 or more,,Greater than 2 to 3 years,4,2,2,0,3,2,Yes,No,1,3,Yes,0,1,No,Yes,No,No,No,Yes,Yes,No,No,Yes,No,No,4 or more,8,1,3 or more,858,.5,0,0,0,0,0,No,Yes,Yes,No,No,1
57,M,BLACK,38-42,3,No,,High,High School Diploma,0,Violent/Sex,1-2 years,10 or more,6 or more,2,0,2,5 or more,No,No,3 or more,3,No,0,0,Yes,No,No,Yes,No,No,No,Yes,No,No,Yes,No,4 or more,10 or more,3 or more,0,57.1875,0,0,0,0,1,.7983606557377049,No,Yes,No,No,Yes,1
58,M,BLACK,38-42,6,No,5,Standard,At least some college,0,Violent/Non-Sex,Greater than 2 to 3 years,10 or more,6 or more,3 or more,5 or more,1,5 or more,Yes,No,1,4 or more,Yes,1,0,Yes,Yes,No,No,No,No,Yes,Yes,No,No,No,No,4 or more,0,0,2,115.7142857142857,.1428571492433548,0,0,0,0,0,No,Yes,No,No,Yes,0
59,M,BLACK,33-37,3,No,7,High,High School Diploma,3 or more,,1-2 years,6,6 or more,0,1,5 or more,4,No,No,3 or more,0,No,1,2 or more,No,No,No,No,No,Yes,Yes,No,No,No,No,No,0,6,1,0,532,0,0,0,0,.2114661654135338,.3432800751879699,No,Yes,Yes,No,No,1
60,M,WHITE,43-47,3,No,6,High,Less than HS diploma,3 or more,,1-2 years,6,6 or more,0,0,5 or more,3,No,Yes,3 or more,4 or more,No,0,2 or more,Yes,No,No,Yes,No,Yes,No,No,No,No,No,No,0,10 or more,1,0,12.21621621621622,0,0,.0810810774564743,0,0,0,No,Yes,No,Yes,No,0
61,M,BLACK,33-37,5,No,9,Specialized,Less than HS diploma,1,Property,Greater than 2 to 3 years,7,5,1,2,5 or more,3,No,No,2,4 or more,No,1,2 or more,No,No,No,No,No,Yes,Yes,No,No,Yes,No,No,0,10 or more,3 or more,0,78,.210526317358017,0,0,0,.2206477732793522,.2464574898785425,No,No,No,No,No,1
62,F,WHITE,48 or older,3,,3,,Less than HS diploma,0,Property,Less than 1 year,10 or more,5,0,5 or more,0,5 or more,No,No,3 or more,4 or more,No,3 or more,0,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,0,0,0,1,13.53846153846154,0,0,0,0,0,0,No,No,No,No,No,1
63,M,BLACK,43-47,5,No,3,Standard,High School Diploma,2,Property,Less than 1 year,10 or more,6 or more,2,5 or more,5 or more,5 or more,No,No,2,4 or more,No,2,1,Yes,No,No,No,No,Yes,No,No,No,No,Yes,No,0,0,3 or more,0,135.6666666666667,0,0,0,0,.3144963144963145,.8974201474201474,No,No,No,No,No,0
64,F,WHITE,43-47,6,,7,Standard,High School Diploma,2,Other,Greater than 2 to 3 years,10 or more,6 or more,3 or more,5 or more,1,5 or more,Yes,No,2,2,No,2,1,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,No,No,0,1,0,1,33.2,0,0,.0500000007450581,.1000000014901161,.9548192771084337,.5500753012048193,No,No,No,No,No,1
65,F,WHITE,48 or older,19,,7,High,High School Diploma,0,Property,1-2 years,4,3,0,2,1,2,No,No,3 or more,1,No,2,1,No,No,No,No,No,Yes,Yes,No,No,Yes,No,Yes,4 or more,9,0,0,159.875,0,.125,0,0,.2541047693510555,.2855746677091478,No,Yes,Yes,No,No,1
66,M,BLACK,33-37,9,Yes,10,Specialized,At least some college,0,Property,1-2 years,10 or more,6 or more,0,5 or more,4,5 or more,No,No,3 or more,4 or more,No,3 or more,2 or more,Yes,No,No,No,No,Yes,No,No,No,Yes,No,No,0,0,0,1,22.5,0,0,0,0,0,0,No,Yes,Yes,No,No,1
67,M,BLACK,28-32,20,No,7,High,Less than HS diploma,3 or more,Drug,1-2 years,4,5,0,2,1,2,Yes,No,2,4 or more,Yes,2,0,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,2,0,0,3 or more,89.77777777777777,0,0,0,0,1,1.808168316831683,No,No,No,No,No,0
68,M,BLACK,33-37,3,No,,Standard,High School Diploma,2,Drug,Less than 1 year,10 or more,6 or more,1,5 or more,1,5 or more,No,No,2,4 or more,Yes,0,1,Yes,No,No,No,Yes,No,No,No,No,No,No,No,0,0,0,1,,,,,,0,0,Yes,No,No,No,No,1
69,M,BLACK,33-37,3,No,6,High,High School Diploma,3 or more,,More than 3 years,10 or more,6 or more,3 or more,3,4,5 or more,No,No,1,4 or more,No,1,2 or more,Yes,No,No,No,No,No,No,Yes,No,Yes,No,Yes,4 or more,10 or more,3 or more,3 or more,344.8571428571428,.5714285969734192,0,0,0,.1864125932062966,.4539146644573322,No,No,No,No,No,1
70,F,WHITE,48 or older,25,,3,Standard,Less than HS diploma,0,,1-2 years,7,5,0,4,1,3,No,No,3 or more,4 or more,No,3 or more,1,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,0,0,0,3 or more,78.28571428571429,0,0,0,0,.708029197080292,.9997718978102189,No,Yes,No,No,Yes,1
71,M,WHITE,38-42,12,No,,,High School Diploma,2,Violent/Non-Sex,Less than 1 year,8,6 or more,2,1,4,5 or more,No,Yes,2,4 or more,No,1,0,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,No,No,0,0,0,0,41,0,0,0,0,1,1,No,No,No,No,No,1
72,M,WHITE,33-37,14,No,8,Specialized,Less than HS diploma,0,Other,Greater than 2 to 3 years,10 or more,6 or more,1,5 or more,0,5 or more,No,Yes,2,3,No,2,0,Yes,No,No,No,Yes,No,No,Yes,No,Yes,No,Yes,4 or more,10 or more,0,1,68.66666666666667,0,0,0,0,.9648058252427184,.2216322815533981,No,No,No,No,No,0
73,M,BLACK,33-37,6,No,10,Standard,Less than HS diploma,3 or more,Property,1-2 years,8,1,0,5 or more,1,1,No,No,3 or more,0,No,3 or more,0,No,No,No,No,No,Yes,Yes,No,No,No,No,No,0,0,0,0,120.6,0,0,0,0,0,0,Yes,No,No,No,No,1
74,M,WHITE,38-42,12,No,7,High,High School Diploma,3 or more,Property,Less than 1 year,10 or more,6 or more,3 or more,5 or more,4,5 or more,No,Yes,3 or more,4 or more,Yes,3 or more,2 or more,Yes,No,Yes,No,No,Yes,No,Yes,No,No,No,No,0,1,3 or more,0,70.5,.25,0,0,0,.9432624113475178,1,No,Yes,Yes,No,No,1
75,M,BLACK,43-47,4,No,5,Standard,High School Diploma,0,,More than 3 years,6,6 or more,3 or more,2,4,2,Yes,Yes,3 or more,4 or more,Yes,0,2 or more,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,No,0,0,0,0,398,0,0,0,0,0,0,No,Yes,Yes,No,No,1
76,M,WHITE,43-47,6,No,10,Specialized,At least some college,3 or more,,More than 3 years,10 or more,6 or more,0,5 or more,1,4,No,No,3 or more,2,No,3 or more,0,No,No,No,No,No,No,No,No,No,No,No,No,0,6,0,1,34.1578947368421,0,.0526315793395042,.0526315793395042,0,.2557781201848999,.562788906009245,No,No,No,No,No,1
